filename	onset	offset	event_label
--v7FsvvYng_40000	3.634	3.966	Gunshot, gunfire
--v7FsvvYng_40000	4.257	4.658	Gunshot, gunfire
--v7FsvvYng_40000	4.879	5.232	Gunshot, gunfire
--v7FsvvYng_40000	7.128	7.625	Gunshot, gunfire
--v7FsvvYng_40000	8.081	8.489	Gunshot, gunfire
--v7FsvvYng_40000	9.008	9.34	Gunshot, gunfire
-0Hf2I8AFI8_20000	0.015	10.0	Vehicle
-4RWqM0UCCY_0	0.008	10.0	Vehicle
-5q6IOaiUQc_14000	5.3	9.147	Vehicle
-6893KbRdXA_25000	0.0	9.366	Vehicle
-6juGO8y8es_10000	3.78	10.0	Vehicle
-7gPr2vlKkA_30000	8.399	8.553	Gunshot, gunfire
-7gPr2vlKkA_30000	8.809	9.117	Gunshot, gunfire
-AIrHVeCgtM_30000	0.0	10.0	Vehicle
-Ao2rEP82SU_30000	1.881	2.16	Gunshot, gunfire
-Bs5Jh0dm4U_160000	0.0	10.0	Vehicle
-CoMUv2igfk_12000	0.508	1.145	Gunshot, gunfire
-DLL8LaKq-c_19000	0.224	0.964	Gunshot, gunfire
-Em3OpyaefM_30000	0.0	10.0	Vehicle
-F6OE8PdxF8_20000	0.53	1.13	Vehicle
-F6OE8PdxF8_20000	5.73	6.73	Vehicle
-F6OE8PdxF8_20000	6.83	6.93	Vehicle
-KoqUX84M5U_30000	0.0	10.0	Vehicle
-Pp0sXXL44o_18000	5.17	5.586	Gunshot, gunfire
-RAdrtCW1hI_70000	5.652	5.797	Gunshot, gunfire
-RAdrtCW1hI_70000	6.242	6.387	Gunshot, gunfire
-RAdrtCW1hI_70000	7.353	7.556	Gunshot, gunfire
-RAdrtCW1hI_70000	7.884	8.077	Gunshot, gunfire
-RAdrtCW1hI_70000	8.377	8.551	Gunshot, gunfire
-RAdrtCW1hI_70000	8.86	9.053	Gunshot, gunfire
-RAdrtCW1hI_70000	9.295	9.536	Gunshot, gunfire
-RAdrtCW1hI_70000	9.768	10.0	Gunshot, gunfire
-SrSQMT6MKY_310000	9.465	10.0	Gunshot, gunfire
-St4RzpZAEQ_1000	1.403	2.037	Gunshot, gunfire
-U3Xh6Fsw50_0	0.0	10.0	Vehicle
-W9ZCx9t_8s_30000	0.0	10.0	Vehicle
-Wdl7u29-O4_60000	0.03	1.819	Gunshot, gunfire
-Wdl7u29-O4_60000	3.874	4.367	Gunshot, gunfire
-Wdl7u29-O4_60000	4.448	10.0	Gunshot, gunfire
-b_s4tL-z8k_170000	2.787	4.488	Vehicle
-bf31H_coaY_0	0.025	6.422	Vehicle
-cLpSJwE8n4_440000	3.52	6.732	Gunshot, gunfire
-dhFMe278l8_30000	0.0	10.0	Vehicle
-fEwlyG05Co_290000	0.0	10.0	Vehicle
-g0ni9Ozh9U_400000	0.0	8.835	Vehicle
-gqN3xq05ns_10000	0.028	0.783	Gunshot, gunfire
-gqN3xq05ns_10000	2.301	3.406	Gunshot, gunfire
-gqN3xq05ns_10000	4.204	5.085	Gunshot, gunfire
-grLCHgR6WI_0	1.135	2.805	Gunshot, gunfire
-grLCHgR6WI_0	3.279	3.864	Gunshot, gunfire
-keIdqTx8eU_390000	0.0	0.815	Gunshot, gunfire
-keIdqTx8eU_390000	2.154	3.097	Gunshot, gunfire
-mGX2wYBZlY_70000	8.774	8.999	Gunshot, gunfire
-mGX2wYBZlY_70000	9.722	10.0	Gunshot, gunfire
-nWPtX5YPR8_20000	0.857	1.068	Gunshot, gunfire
-q5KdVI7r-Y_60000	1.714	2.093	Gunshot, gunfire
-q5KdVI7r-Y_60000	7.35	7.718	Gunshot, gunfire
-q6yZrbbjck_490000	0.239	0.654	Gunshot, gunfire
-q6yZrbbjck_490000	0.854	1.172	Gunshot, gunfire
-q6yZrbbjck_490000	1.318	1.684	Gunshot, gunfire
-q6yZrbbjck_490000	1.981	2.293	Gunshot, gunfire
-q6yZrbbjck_490000	2.41	2.749	Gunshot, gunfire
-q6yZrbbjck_490000	2.915	3.247	Gunshot, gunfire
-q6yZrbbjck_490000	3.385	3.697	Gunshot, gunfire
-q6yZrbbjck_490000	3.973	4.34	Gunshot, gunfire
-q6yZrbbjck_490000	4.464	4.962	Gunshot, gunfire
-q6yZrbbjck_490000	5.114	5.564	Gunshot, gunfire
-q6yZrbbjck_490000	5.737	6.186	Gunshot, gunfire
-q6yZrbbjck_490000	9.492	10.0	Gunshot, gunfire
-r_UBIIqEBA_30000	0.119	0.322	Gunshot, gunfire
-r_UBIIqEBA_30000	0.607	0.964	Gunshot, gunfire
-r_UBIIqEBA_30000	1.102	1.24	Gunshot, gunfire
-r_UBIIqEBA_30000	1.338	1.492	Gunshot, gunfire
-r_UBIIqEBA_30000	1.654	1.752	Gunshot, gunfire
-r_UBIIqEBA_30000	1.882	2.02	Gunshot, gunfire
-r_UBIIqEBA_30000	2.166	2.54	Gunshot, gunfire
-r_UBIIqEBA_30000	2.702	3.888	Gunshot, gunfire
-r_UBIIqEBA_30000	4.1	4.839	Gunshot, gunfire
-r_UBIIqEBA_30000	5.074	5.351	Gunshot, gunfire
-r_UBIIqEBA_30000	5.724	5.887	Gunshot, gunfire
-r_UBIIqEBA_30000	6.082	7.276	Gunshot, gunfire
-r_UBIIqEBA_30000	7.406	7.479	Gunshot, gunfire
-r_UBIIqEBA_30000	7.633	7.836	Gunshot, gunfire
-r_UBIIqEBA_30000	8.064	8.194	Gunshot, gunfire
-r_UBIIqEBA_30000	8.381	9.25	Gunshot, gunfire
-r_UBIIqEBA_30000	9.421	10.0	Gunshot, gunfire
-rj0HShqD9g_25000	8.466	9.64	Vehicle
-sE0zKSr1o4_30000	0.0	10.0	Vehicle
-sKfAhslxNA_30000	0.0	10.0	Vehicle
-tTa_HJD4iM_7000	1.88	3.328	Gunshot, gunfire
-uD7JieBomY_400000	4.033	4.492	Gunshot, gunfire
-uD7JieBomY_400000	7.239	7.946	Gunshot, gunfire
-uD7JieBomY_400000	8.962	9.511	Gunshot, gunfire
-wW0vFmhpm8_80000	2.026	2.455	Gunshot, gunfire
-wW0vFmhpm8_80000	4.082	4.439	Gunshot, gunfire
-xI37LC4NkY_0	4.114	4.941	Gunshot, gunfire
-xI37LC4NkY_0	5.652	6.42	Gunshot, gunfire
-xI37LC4NkY_0	7.167	7.87	Gunshot, gunfire
-xI37LC4NkY_0	8.602	9.253	Gunshot, gunfire
-y94d462nOQ_200000	0.062	0.314	Gunshot, gunfire
-y94d462nOQ_200000	0.525	1.029	Gunshot, gunfire
-y94d462nOQ_200000	1.273	1.955	Gunshot, gunfire
-y94d462nOQ_200000	2.183	2.426	Gunshot, gunfire
-y94d462nOQ_200000	2.589	2.889	Gunshot, gunfire
-y94d462nOQ_200000	3.174	3.539	Gunshot, gunfire
-y94d462nOQ_200000	3.726	4.002	Gunshot, gunfire
-y94d462nOQ_200000	4.189	4.392	Gunshot, gunfire
-y94d462nOQ_200000	4.571	4.896	Gunshot, gunfire
-y94d462nOQ_200000	5.099	5.424	Gunshot, gunfire
-y94d462nOQ_200000	5.586	6.204	Gunshot, gunfire
-y94d462nOQ_200000	6.342	6.626	Gunshot, gunfire
-y94d462nOQ_200000	6.845	7.113	Gunshot, gunfire
-y94d462nOQ_200000	7.276	8.056	Gunshot, gunfire
-y94d462nOQ_200000	8.283	9.104	Gunshot, gunfire
-y94d462nOQ_200000	9.266	9.518	Gunshot, gunfire
-y94d462nOQ_200000	9.648	9.916	Gunshot, gunfire
-yMBaEsV5uA_4000	0.0	10.0	Vehicle
-z7J3PfyT8o_10000	0.0	0.567	Gunshot, gunfire
-z7J3PfyT8o_10000	1.887	2.567	Gunshot, gunfire
-z7J3PfyT8o_10000	4.622	5.639	Gunshot, gunfire
-z7J3PfyT8o_10000	7.385	8.313	Gunshot, gunfire
00wo3ZuR2jY_300000	0.732	0.913	Gunshot, gunfire
00wo3ZuR2jY_300000	9.283	9.409	Gunshot, gunfire
00wo3ZuR2jY_300000	9.52	10.0	Gunshot, gunfire
02NhRyu_KUk_30000	0.898	1.512	Gunshot, gunfire
02NhRyu_KUk_30000	1.701	1.984	Gunshot, gunfire
02NhRyu_KUk_30000	2.228	2.575	Gunshot, gunfire
02NhRyu_KUk_30000	2.921	3.425	Gunshot, gunfire
02NhRyu_KUk_30000	7.024	7.252	Gunshot, gunfire
02NhRyu_KUk_30000	7.457	7.575	Gunshot, gunfire
02NhRyu_KUk_30000	7.701	7.819	Gunshot, gunfire
02NhRyu_KUk_30000	7.929	8.087	Gunshot, gunfire
02NhRyu_KUk_30000	8.362	8.756	Gunshot, gunfire
02NhRyu_KUk_30000	9.22	9.465	Gunshot, gunfire
02NhRyu_KUk_30000	9.748	9.961	Gunshot, gunfire
03W1CWq5nz4_30000	7.079	8.606	Gunshot, gunfire
04C7x9liy6s_21000	0.0	8.907	Vehicle
052BOxtN3G0_130000	0.015	0.523	Gunshot, gunfire
